site,type1,type2,type3,notes,location,source
diyhours.net,Fake news,,,,"Panama, Pa.*",Politifact
dollarvigilante.com,Bias,,,anarcho-capitalist Blog,,OpenSources
donaldtrumpnews.co,Fake news,,,,,OpenSources
donaldtrumppotus45.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
donaldtrumppotus45.com,Fake news,,,,"Free Union, Va.",Politifact
dont-tread-on.me,Conspiracy,,,doesn't seem to be updating anymore,,OpenSources
downtrend.com,Fake news,Satire,,,,OpenSources
drrichswier.com,Hate,Bias,,,,OpenSources
drudgereport.com,Political,Bias,,,,OpenSources
drudgereport.com.co,Fake news,,,,,OpenSources
duffleblog.com,Satire,,,,,OpenSources
duhprogressive.com,Satire,,,,,OpenSources
dutchsinse.com,Conspiracy,,,weather control,,OpenSources
eaglerising.com,Bias,Clickbait,,,,OpenSources
ebolahoax.com,Conspiracy,,,domain for sale,,OpenSources
economicnoise.com,Political,Unreliable,,"sites some problematic sources, like CNS news",,OpenSources
ecowatch.com,Political,,,"this site claims Junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",,OpenSources
educate-yourself.org,Conspiracy,Junksci,,,,OpenSources
educateinspirechange.org/health,Clickbait,Junksci,,,,OpenSources
electionnightgatekeepers.com,Conspiracy,Unreliable,,,,OpenSources
elelephantintheroom.blogspot.com,Bias,,,,,OpenSources
elitereaders.com,Clickbait,,,,,OpenSources
elkoshary.com,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
elmundotoday.com,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
embols.com,Fake news,,,,,OpenSources
empirehearland.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
empireherald.com,Fake news,Satire,,,,OpenSources
empireherald.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
empirenews.net,Fake news,Satire,,,,OpenSources
empirenews.net,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
